LEVEL 0;;LEVEL 1;;LEVEL 2;;LEVEL 3;;LEVEL 4;;;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;4;Видалення внутрішньочерепних пристроїв для спинномозкової рідини;90001-00;Видалення зовнішнього вентрикулярного дренажу;Conduction studies on >= 4 nerves with electromyography;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;4;Видалення внутрішньочерепних пристроїв для спинномозкової рідини;90001-01;Видалення вентрикулярного резервуара;Conduction studies with electromyography of single fibres of nerves and muscles;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;4;Видалення внутрішньочерепних пристроїв для спинномозкової рідини;90001-02;Видалення пристрою для моніторингу внутрішньочерепного тиску (ВЧТ);Electromyography with quantitative computerised analysis;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;5;Промивання, встановлення або видалення внутрішньочерепного шунта для спинномозкової рідини;40003-00;Встановлення вентрикуло-атріального шунта;Repetitive neuromuscular conduction studies;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;5;Промивання, встановлення або видалення внутрішньочерепного шунта для спинномозкової рідини;40003-01;Встановлення вентрикуло-плеврального шунта;Repetitive neuromuscular conduction studies with quantitative computerised analysis electromyography;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;5;Промивання, встановлення або видалення внутрішньочерепного шунта для спинномозкової рідини;40003-02;Встановлення вентрикуло-перитонеального шунта;Investigation of central nervous system evoked responses, 1 or 2 studies;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;5;Промивання, встановлення або видалення внутрішньочерепного шунта для спинномозкової рідини;40003-03;Встановлення вентрикулярного шунта до іншої екстракраніальної ділянки;Investigation of central nervous system evoked responses, >= 3 studies;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;5;Промивання, встановлення або видалення внутрішньочерепного шунта для спинномозкової рідини;40003-04;Встановлення цистернального шунта;Provocative test for glaucoma;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;5;Промивання, встановлення або видалення внутрішньочерепного шунта для спинномозкової рідини;40009-03;Видалення вентрикулярного шунта;Electroretinography [ERG];
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;5;Промивання, встановлення або видалення внутрішньочерепного шунта для спинномозкової рідини;40009-04;Видалення цистернального шунта;Electro-oculography [EOG];
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;5;Промивання, встановлення або видалення внутрішньочерепного шунта для спинномозкової рідини;90002-00;Промивання шунта для спинномозкової рідини;Pattern electroretinography;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;6;Інші процедури прикладання, введення або видалення, що стосуються черепа, оболонок мозку та головного мозку;40709-00;Введення внутрішньочерепного електрода через трепанаційні отвори;Dark adaptation study;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;6;Інші процедури прикладання, введення або видалення, що стосуються черепа, оболонок мозку та головного мозку;40709-01;Видалення внутрішньочерепного електрода через трепанаційний отвір;Retinal photography of 1 eye;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;6;Інші процедури прикладання, введення або видалення, що стосуються черепа, оболонок мозку та головного мозку;40709-02;Коригування внутрішньочерепних електродів через трепанаційні отвори;Retinal photography of both eyes;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;6;Інші процедури прикладання, введення або видалення, що стосуються черепа, оболонок мозку та головного мозку;40709-03;Заміна внутрішньочерепних електродів через трепанаційні отвори;Full quantitative computerised perimetry, bilateral;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;6;Інші процедури прикладання, введення або видалення, що стосуються черепа, оболонок мозку та головного мозку;40712-00;Введення внутрішньочерепного електрода шляхом краніотомії;Full quantitative computerised perimetry, unilateral;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;6;Інші процедури прикладання, введення або видалення, що стосуються черепа, оболонок мозку та головного мозку;40712-01;Видалення внутрішньочерепного електрода шляхом краніотомії;Examination of eye by impression cytology of cornea;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;6;Інші процедури прикладання, введення або видалення, що стосуються черепа, оболонок мозку та головного мозку;40712-02;Коригування внутрішньочерепних електродів шляхом краніотомії;Partial coherence interferometry;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;6;Інші процедури прикладання, введення або видалення, що стосуються черепа, оболонок мозку та головного мозку;40712-03;Заміна внутрішньочерепних електродів шляхом краніотомії;Brain stem evoked response audiometry;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;6;Інші процедури прикладання, введення або видалення, що стосуються черепа, оболонок мозку та головного мозку;47705-00;Введення черепного каліпера;Electrocochleography by extratympanic method;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;3;РОЗРІЗ;7;Діагностичний розріз головного мозку або його оболонок;39012-00;Трепанаційні отвори;Electrocochleography by transtympanic method;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;3;РОЗРІЗ;8;Внутрішньочерепний дренаж;39600-00;Дренування внутрішньочерепної гематоми;Other audiometry;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;3;РОЗРІЗ;8;Внутрішньочерепний дренаж;39703-01;Дренування внутрішньочерепного ураження або кісти;Air conduction audiometry, standard technique;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;3;РОЗРІЗ;8;Внутрішньочерепний дренаж;39900-00;Дренування внутрішньочерепної інфекції;Air conduction audiometry using visual reinforcement;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;3;РОЗРІЗ;9;Внутрішньочерепна декомпресія;39706-01;Декомпресія внутрішньочерепної пухлини шляхом остеопластичної краніотомії;Air and bone conduction audiometry, standard technique;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;3;РОЗРІЗ;9;Внутрішньочерепна декомпресія;40015-00;Підскронева декомпресія;Air and bone conduction audiometry using visual reinforcement;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;3;РОЗРІЗ;9;Внутрішньочерепна декомпресія;40106-00;Декомпресія заднього мозку;Speech discrimination test;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;3;РОЗРІЗ;9;Внутрішньочерепна декомпресія;40106-01;Декомпресія задньої черепної ямки;Speech discrimination test with background noise;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;3;РОЗРІЗ;10;Післяопераційне повторне відкриття місця краніотомії або краніектомії;39721-00;Післяопераційне повторне відкриття місця краніотомії або краніектомії;Measurement of glycerol induced cochlear function changes;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;4;ДЕСТРУКЦІЯ;11;Ліквідація внутрішньочерепної аневризми або іншого ураження судин;35412-00;Вертебропластика, ≥ 2 тіл хребця;Tympanometry using standard probe tone;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;4;ДЕСТРУКЦІЯ;11;Ліквідація внутрішньочерепної аневризми або іншого ураження судин;39800-00;Кліпування мозкової аневризми;Tympanometry using high frequency probe tone;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;4;ДЕСТРУКЦІЯ;11;Ліквідація внутрішньочерепної аневризми або іншого ураження судин;39806-00;Кліпування внутрішньочерепної проксимальної артерії;Click evoked otoacoustic emissions evaluation;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;4;ДЕСТРУКЦІЯ;11;Ліквідація внутрішньочерепної аневризми або іншого ураження судин;39812-00;Лігування судини шиї у зв’язку з внутрішньочерепною аневризмою;Distortion product otoacoustic emissions evaluation;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;4;ДЕСТРУКЦІЯ;11;Ліквідація внутрішньочерепної аневризми або іншого ураження судин;39815-00;Облітерація каротидно-кавернозної фістули;Other otoacoustic emissions evaluation;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;5;ВИСІЧЕННЯ;12;Біопсія головного мозку або його оболонок;39703-00;Біопсія головного мозку через трепанаційні отвори;Caloric test of labyrinth;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;5;ВИСІЧЕННЯ;12;Біопсія головного мозку або його оболонок;39703-02;Біопсія оболонок головного мозку через трепанаційні отвори;Simultaneous bithermal caloric test of labyrinths;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;5;ВИСІЧЕННЯ;12;Біопсія головного мозку або його оболонок;39706-00;Біопсія головного мозку за допомогою остеопластичної краніотомії;Electronystagmography [ENG];
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;5;ВИСІЧЕННЯ;12;Біопсія головного мозку або його оболонок;39706-02;Біопсія оболонок головного мозку за допомогою остеопластичної краніотомії;Bronchospirometry;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;5;ВИСІЧЕННЯ;12;Біопсія головного мозку або його оболонок;40903-01;Біопсія головного мозку за допомогою нейроендоскопії;Measurement of respiratory muscle strength involving transdiaphragmatic or oesophageal pressures;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;5;ВИСІЧЕННЯ;13;Висічення ураженої ділянки черепа;39700-00;Висічення ураженої ділянки черепа;Measurement of respiratory muscle strength at multiple lung volumes;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;5;ВИСІЧЕННЯ;13;Висічення ураженої ділянки черепа;39906-00;Краніектомія у зв’язку з інфекцією черепа;Measurement of respiratory muscle endurance or fatigability;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;5;ВИСІЧЕННЯ;14;Видалення внутрішньочерепної гематоми або абсцесу;39603-00;Видалення внутрішньочерепної гематоми через остеопластичну краніотомію;Measurement of respiratory muscle strength before and after intravenous injection of placebo and anticholinesterase drugs;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;5;ВИСІЧЕННЯ;14;Видалення внутрішньочерепної гематоми або абсцесу;39603-01;Видалення внутрішньочерепної гематоми через краніектомію;Exercise testing to assess respiratory status;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;5;ВИСІЧЕННЯ;14;Видалення внутрішньочерепної гематоми або абсцесу;39903-00;Видалення внутрішньочерепного абсцесу;Spirometry with exercise testing;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;5;ВИСІЧЕННЯ;15;Видалення внутрішньочерепної ураженої ділянки;39709-00;Видалення ураженої ділянки головного мозку;Measurement of phrenic nerve function;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;5;ВИСІЧЕННЯ;15;Видалення внутрішньочерепної ураженої ділянки;39709-01;Видалення ураженої ділянки стовбура головного мозку;Measurement of pulmonary distensibility;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;5;ВИСІЧЕННЯ;15;Видалення внутрішньочерепної ураженої ділянки;39709-02;Видалення ураженої ділянки мозочка;Assessment of arterial carbon dioxide tension or cardiac output, rebreathing method;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;5;ВИСІЧЕННЯ;15;Видалення внутрішньочерепної ураженої ділянки;39712-00;Видалення ураженої ділянки оболонок головного мозку;Measurement of resistance of anterior nares or pharynx;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;5;ВИСІЧЕННЯ;15;Видалення внутрішньочерепної ураженої ділянки;39712-03;Видалення внутрішньошлуночкового ураження;Measurement of gas exchange;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;5;ВИСІЧЕННЯ;15;Видалення внутрішньочерепної ураженої ділянки;39712-04;Видалення іншого внутрішньочерепного ураження;Measurement of carbon monoxide diffusing capacity;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;5;ВИСІЧЕННЯ;15;Видалення внутрішньочерепної ураженої ділянки;41575-00;Видалення ураженої ділянки мосто-мозочкового кута;Measurement of total lung volume;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;5;ВИСІЧЕННЯ;16;Інше внутрішньочерепне висічення;39718-00;Видалення кісти головного мозку;Measurement of airway or pulmonary resistance;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;5;ВИСІЧЕННЯ;16;Інше внутрішньочерепне висічення;39803-00;Висічення внутрішньочерепної артеріовенозної мальформації;Measurement of ventilatory and/or occlusion pressure responses to progressive hypercapnia and hypoxia;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;5;ВИСІЧЕННЯ;16;Інше внутрішньочерепне висічення;40700-00;Передній розтин мозолистого тіла;Measurement of ventilation perfusion ratios using multiple inert gas elimination techniques;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;5;ВИСІЧЕННЯ;16;Інше внутрішньочерепне висічення;40703-00;Кортикектомія головного мозку;Continuous monitoring of pulmonary function for >= 6 hours duration;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;5;ВИСІЧЕННЯ;16;Інше внутрішньочерепне висічення;40703-01;Топектомія;Inhalation provocation testing;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;5;ВИСІЧЕННЯ;16;Інше внутрішньочерепне висічення;40703-02;Часткова лобектомія головного мозку;Tests of distribution of ventilation;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;5;ВИСІЧЕННЯ;16;Інше внутрішньочерепне висічення;40706-00;Гемісферектомія;Simulated altitude test;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;5;ВИСІЧЕННЯ;17;Хірургічна операція на основі черепа у зв’язку з ураженням;39640-00;Видалення ураженої ділянки з передньої черепної ямки;Other measurement of respiratory function;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;5;ВИСІЧЕННЯ;17;Хірургічна операція на основі черепа у зв’язку з ураженням;39642-00;Видалення ураженої ділянки з передньої черепної ямки з очищенням ділянок розповсюдження процесу на придаткові пазухи носа;Continuous measurement of relationship between flow and volume during expiration or inspiration;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;5;ВИСІЧЕННЯ;17;Хірургічна операція на основі черепа у зв’язку з ураженням;39646-00;Видалення ураженої ділянки з залученням передньої черепної ямки з радикальним видаленням ділянок розповсюдження процесу на придаткові пазухи носа та очної ямки;Cardiac intracavity blood pressure monitoring;
