Клас;Назва;Вісь анатомічної локалізації;Назва;Вісь процедурної типології;Назва;Вісь блоків ;Назва;Код;Назва UKR;Назва ENG
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;4;Видалення внутрішньочерепних пристроїв для спинномозкової рідини;90001-00;Видалення зовнішнього вентрикулярного дренажу;Removal of external ventricular drain
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;4;Видалення внутрішньочерепних пристроїв для спинномозкової рідини;90001-01;Видалення вентрикулярного резервуара;Removal of ventricular reservoir
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;4;Видалення внутрішньочерепних пристроїв для спинномозкової рідини;90001-02;Видалення пристрою для моніторингу внутрішньочерепного тиску (ВЧТ);Removal of intracranial pressure [ICP] monitoring device
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;5;Промивання, встановлення або видалення внутрішньочерепного шунта для спинномозкової рідини;40003-00;Встановлення вентрикуло-атріального шунта;Insertion of ventriculo-atrial shunt
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;5;Промивання, встановлення або видалення внутрішньочерепного шунта для спинномозкової рідини;40003-01;Встановлення вентрикуло-плеврального шунта;Insertion of ventriculopleural shunt
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;5;Промивання, встановлення або видалення внутрішньочерепного шунта для спинномозкової рідини;40003-02;Встановлення вентрикуло-перитонеального шунта;Insertion of ventriculoperitoneal shunt
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;5;Промивання, встановлення або видалення внутрішньочерепного шунта для спинномозкової рідини;40003-03;Встановлення вентрикулярного шунта до іншої екстракраніальної ділянки;Insertion of ventricular shunt to other extracranial site
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;5;Промивання, встановлення або видалення внутрішньочерепного шунта для спинномозкової рідини;40003-04;Встановлення цистернального шунта;Insertion of cisternal shunt
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;5;Промивання, встановлення або видалення внутрішньочерепного шунта для спинномозкової рідини;40009-03;Видалення вентрикулярного шунта;Removal of ventricular shunt
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;5;Промивання, встановлення або видалення внутрішньочерепного шунта для спинномозкової рідини;40009-04;Видалення цистернального шунта;Removal of cisternal shunt
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;5;Промивання, встановлення або видалення внутрішньочерепного шунта для спинномозкової рідини;90002-00;Промивання шунта для спинномозкової рідини;Irrigation of cerebrospinal fluid shunt
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;6;Інші процедури прикладання, введення або видалення, що стосуються черепа, оболонок мозку та головного мозку;40709-00;Введення внутрішньочерепного електрода через трепанаційні отвори;Insertion of intracranial electrode via burr holes
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;6;Інші процедури прикладання, введення або видалення, що стосуються черепа, оболонок мозку та головного мозку;40709-01;Видалення внутрішньочерепного електрода через трепанаційний отвір;Removal of intracranial electrode via burr holes
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;6;Інші процедури прикладання, введення або видалення, що стосуються черепа, оболонок мозку та головного мозку;40709-02;Коригування внутрішньочерепних електродів через трепанаційні отвори;Adjustment of intracranial electrodes via burr holes
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;6;Інші процедури прикладання, введення або видалення, що стосуються черепа, оболонок мозку та головного мозку;40709-03;Заміна внутрішньочерепних електродів через трепанаційні отвори;Replacement of intracranial electrodes via burr holes
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;6;Інші процедури прикладання, введення або видалення, що стосуються черепа, оболонок мозку та головного мозку;40712-00;Введення внутрішньочерепного електрода шляхом краніотомії;Insertion of intracranial electrode via craniotomy
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;6;Інші процедури прикладання, введення або видалення, що стосуються черепа, оболонок мозку та головного мозку;40712-01;Видалення внутрішньочерепного електрода шляхом краніотомії;Removal of intracranial electrode via craniotomy
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;6;Інші процедури прикладання, введення або видалення, що стосуються черепа, оболонок мозку та головного мозку;40712-02;Коригування внутрішньочерепних електродів шляхом краніотомії;Adjustment of intracranial electrodes via craniotomy
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;6;Інші процедури прикладання, введення або видалення, що стосуються черепа, оболонок мозку та головного мозку;40712-03;Заміна внутрішньочерепних електродів шляхом краніотомії;Replacement of intracranial electrodes via craniotomy
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;6;Інші процедури прикладання, введення або видалення, що стосуються черепа, оболонок мозку та головного мозку;47705-00;Введення черепного каліпера;Insertion of skull caliper
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;3;РОЗРІЗ;7;Діагностичний розріз головного мозку або його оболонок;39012-00;Трепанаційні отвори;Burr holes
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;3;РОЗРІЗ;8;Внутрішньочерепний дренаж;39600-00;Дренування внутрішньочерепної гематоми;Drainage of intracranial haemorrhage
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;3;РОЗРІЗ;8;Внутрішньочерепний дренаж;39703-01;Дренування внутрішньочерепного ураження або кісти;Drainage of intracranial lesion or cyst
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;3;РОЗРІЗ;8;Внутрішньочерепний дренаж;39900-00;Дренування внутрішньочерепної інфекції;Drainage of intracranial infection
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;3;РОЗРІЗ;9;Внутрішньочерепна декомпресія;39706-01;Декомпресія внутрішньочерепної пухлини шляхом остеопластичної краніотомії;Decompression of intracranial tumour via osteoplastic craniotomy
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;3;РОЗРІЗ;9;Внутрішньочерепна декомпресія;40015-00;Підскронева декомпресія;Subtemporal decompression
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;3;РОЗРІЗ;9;Внутрішньочерепна декомпресія;40106-00;Декомпресія заднього мозку;Hind brain decompression
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;3;РОЗРІЗ;9;Внутрішньочерепна декомпресія;40106-01;Декомпресія задньої черепної ямки;Posterior cranial fossa decompression
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;3;РОЗРІЗ;10;Післяопераційне повторне відкриття місця краніотомії або краніектомії;39721-00;Післяопераційне повторне відкриття місця краніотомії або краніектомії;Postoperative re-opening of craniotomy or craniectomy site
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;4;ДЕСТРУКЦІЯ;11;Ліквідація внутрішньочерепної аневризми або іншого ураження судин;35412-00;Вертебропластика, ≥ 2 тіл хребця;Endovascular occlusion of cerebral aneurysm or arteriovenous malformation
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;4;ДЕСТРУКЦІЯ;11;Ліквідація внутрішньочерепної аневризми або іншого ураження судин;39800-00;Кліпування мозкової аневризми;Clipping of cerebral aneurysm
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;4;ДЕСТРУКЦІЯ;11;Ліквідація внутрішньочерепної аневризми або іншого ураження судин;39806-00;Кліпування внутрішньочерепної проксимальної артерії;Clipping of intracranial proximal artery
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;4;ДЕСТРУКЦІЯ;11;Ліквідація внутрішньочерепної аневризми або іншого ураження судин;39812-00;Лігування судини шиї у зв'язку з внутрішньочерепною аневризмою;Ligation of cervical vessel for intracranial aneurysm
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;4;ДЕСТРУКЦІЯ;11;Ліквідація внутрішньочерепної аневризми або іншого ураження судин;39815-00;Облітерація каротидно-кавернозної фістули;Obliteration of carotid cavernous fistula
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;5;ВИСІЧЕННЯ;12;Біопсія головного мозку або його оболонок;39703-00;Біопсія головного мозку через трепанаційні отвори;Biopsy of brain via burr holes
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;5;ВИСІЧЕННЯ;12;Біопсія головного мозку або його оболонок;39703-02;Біопсія оболонок головного мозку через трепанаційні отвори;Biopsy of cerebral meninges via burr holes
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;5;ВИСІЧЕННЯ;12;Біопсія головного мозку або його оболонок;39706-00;Біопсія головного мозку за допомогою остеопластичної краніотомії;Biopsy of brain via osteoplastic craniotomy
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;5;ВИСІЧЕННЯ;12;Біопсія головного мозку або його оболонок;39706-02;Біопсія оболонок головного мозку за допомогою остеопластичної краніотомії;Biopsy of cerebral meninges via osteoplastic craniotomy
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;5;ВИСІЧЕННЯ;12;Біопсія головного мозку або його оболонок;40903-01;Біопсія головного мозку за допомогою нейроендоскопії;Biopsy of brain via neuroendoscopy
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;5;ВИСІЧЕННЯ;13;Висічення ураженої ділянки черепа;39700-00;Висічення ураженої ділянки черепа;Excision of lesion of skull
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;5;ВИСІЧЕННЯ;13;Висічення ураженої ділянки черепа;39906-00;Краніектомія у зв'язку з інфекцією черепа;Craniectomy for infection of skull
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;5;ВИСІЧЕННЯ;14;Видалення внутрішньочерепної гематоми або абсцесу;39603-00;Видалення внутрішньочерепної гематоми через остеопластичну краніотомію;Removal of intracranial haematoma via osteoplastic craniotomy
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;5;ВИСІЧЕННЯ;14;Видалення внутрішньочерепної гематоми або абсцесу;39603-01;Видалення внутрішньочерепної гематоми через краніектомію;Removal of intracranial haematoma with craniectomy
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;5;ВИСІЧЕННЯ;14;Видалення внутрішньочерепної гематоми або абсцесу;39903-00;Видалення внутрішньочерепного абсцесу;Removal of intracranial abscess
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;5;ВИСІЧЕННЯ;15;Видалення внутрішньочерепної ураженої ділянки;39709-00;Видалення ураженої ділянки головного мозку;Removal of lesion of cerebrum
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;5;ВИСІЧЕННЯ;15;Видалення внутрішньочерепної ураженої ділянки;39709-01;Видалення ураженої ділянки стовбура головного мозку;Removal of lesion of brain stem
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;5;ВИСІЧЕННЯ;15;Видалення внутрішньочерепної ураженої ділянки;39709-02;Видалення ураженої ділянки мозочка;Removal of lesion of cerebellum
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;5;ВИСІЧЕННЯ;15;Видалення внутрішньочерепної ураженої ділянки;39712-00;Видалення ураженої ділянки оболонок головного мозку;Removal of lesion of cerebral meninges
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;5;ВИСІЧЕННЯ;15;Видалення внутрішньочерепної ураженої ділянки;39712-03;Видалення внутрішньошлуночкового ураження;Removal of intraventricular lesion
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;5;ВИСІЧЕННЯ;15;Видалення внутрішньочерепної ураженої ділянки;39712-04;Видалення іншого внутрішньочерепного ураження;Removal of other intracranial lesion
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;5;ВИСІЧЕННЯ;15;Видалення внутрішньочерепної ураженої ділянки;41575-00;Видалення ураженої ділянки мосто-мозочкового кута;Removal of lesion of cerebellopontine angle
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;5;ВИСІЧЕННЯ;16;Інше внутрішньочерепне висічення;39718-00;Видалення кісти головного мозку;Removal of brain cyst
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;5;ВИСІЧЕННЯ;16;Інше внутрішньочерепне висічення;39803-00;Висічення внутрішньочерепної артеріовенозної мальформації;Excision of intracranial arteriovenous malformation
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;5;ВИСІЧЕННЯ;16;Інше внутрішньочерепне висічення;40700-00;Передній розтин мозолистого тіла;Anterior section of corpus callosum
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;5;ВИСІЧЕННЯ;16;Інше внутрішньочерепне висічення;40703-00;Кортикектомія головного мозку;Corticectomy of brain
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;5;ВИСІЧЕННЯ;16;Інше внутрішньочерепне висічення;40703-01;Топектомія;Topectomy
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;5;ВИСІЧЕННЯ;16;Інше внутрішньочерепне висічення;40703-02;Часткова лобектомія головного мозку;Partial lobectomy of brain
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;5;ВИСІЧЕННЯ;16;Інше внутрішньочерепне висічення;40706-00;Гемісферектомія;Hemispherectomy
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;5;ВИСІЧЕННЯ;17;Хірургічна операція на основі черепа у зв’язку з ураженням;39640-00;Видалення ураженої ділянки з передньої черепної ямки;Removal of lesion involving anterior cranial fossa
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;5;ВИСІЧЕННЯ;17;Хірургічна операція на основі черепа у зв’язку з ураженням;39642-00;Видалення ураженої ділянки з передньої черепної ямки з очищенням ділянок розповсюдження процесу на придаткові пазухи носа;Removal of lesion involving anterior cranial fossa with clearance of paranasal sinus extension
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;5;ВИСІЧЕННЯ;17;Хірургічна операція на основі черепа у зв’язку з ураженням;39646-00;Видалення ураженої ділянки з залученням передньої черепної ямки з радикальним видаленням ділянок розповсюдження процесу на придаткові пазухи носа та очної ямки;Removal of lesion involving anterior cranial fossa with radical clearance of paranasal sinus and orbital fossa extensions
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;5;ВИСІЧЕННЯ;17;Хірургічна операція на основі черепа у зв’язку з ураженням;39650-00;Видалення ураженої ділянки з середньої черепної та підскроневої ямок;Removal of lesion involving middle cranial and infratemporal fossae
